u1,u2,f1
1.1899937,1.5999961,-2.2905028
1.1820488,1.5763829,-2.1975906
1.1744381,1.5531669,-2.1270463
1.1670315,1.5303011,-2.067302
1.1597688,1.5077177,-2.0128574
1.1526948,1.4854546,-1.9614373
1.1458453,1.4635491,-1.9123292
1.1392068,1.4419963,-1.8653696
1.1327436,1.4207661,-1.8203952
1.1264247,1.3998309,-1.7771547
1.1202347,1.3791791,-1.73535
1.114169,1.3588126,-1.6947371
1.1082302,1.33874,-1.6551538
1.102423,1.3189694,-1.6165003
1.0967503,1.2995056,-1.5787681
1.0912145,1.2803471,-1.5419406
1.0858138,1.2614881,-1.5060245
1.0805463,1.242918,-1.4710121
1.0754082,1.2246252,-1.4368992
1.0703957,1.2065979,-1.403652
1.0655034,1.1888255,-1.3712438
1.0607276,1.1712995,-1.3396362
1.0560644,1.1540138,-1.3087841
1.0515097,1.1369658,-1.2786566
1.0470606,1.1201537,-1.2492231
1.0427138,1.1035788,-1.2204438
1.0384667,1.0872418,-1.1923088
1.0343162,1.0711452,-1.1647698
1.0302607,1.05529,-1.1378205
1.0262965,1.0396771,-1.1114367
1.0224221,1.0243053,-1.0856097
1.0186344,1.0091724,-1.0603216
1.0149311,0.99427557,-1.0355577
1.0113101,0.97960985,-1.0113095
1.0077685,0.9651699,-0.98757553
1.0043054,0.95094895,-0.96434534
1.0009186,0.9369413,-0.9416044
0.9976061,0.9231403,-0.91936195
0.9943677,0.9095407,-0.89760303
0.9912022,0.8961373,-0.87632996
0.988108,0.88292545,-0.85553896
0.9850847,0.8699021,-0.8352401
0.98213214,0.8570649,-0.8154261
0.97925025,0.8444114,-0.7960923
0.9764375,0.83194125,-0.7772474
0.9736936,0.8196531,-0.7588873
0.9710181,0.8075454,-0.74101174
0.9684101,0.79561913,-0.72362274
0.96586764,0.7838718,-0.7067145
0.9633904,0.77230316,-0.690294
0.9609763,0.7609106,-0.67433894
0.95862395,0.7496927,-0.6588722
0.95633155,0.7386461,-0.6438602
0.9540967,0.72776884,-0.6293164
0.95191693,0.717057,-0.61522233
0.94979036,0.70650786,-0.6015847
0.94771445,0.6961177,-0.58838034
0.94568676,0.6858833,-0.57560545
0.9437053,0.67580175,-0.56325483
0.9417675,0.66586924,-0.5513164
0.93987125,0.65608406,-0.5397799
0.9380146,0.6464433,-0.5286366
0.9361948,0.6369447,-0.51787114
0.93441045,0.62758654,-0.507476
0.93266,0.6183661,-0.49744824
0.9309412,0.60928273,-0.48776844
0.9292533,0.60033417,-0.47842285
0.9275947,0.591519,-0.4694115
0.9259637,0.58283573,-0.46071622
0.92435974,0.5742825,-0.45233253
0.9227814,0.56585723,-0.4442437
0.9212284,0.5575583,-0.43644163
0.9196994,0.5493832,-0.42891264
0.9181936,0.5413301,-0.42165455
0.9167101,0.5333964,-0.41465628
0.915249,0.5255797,-0.407906
0.9138092,0.5178773,-0.40139025
0.91238976,0.5102866,-0.3951054
0.9109908,0.5028049,-0.3890445
0.9096122,0.49542996,-0.38318968
0.9082519,0.4881591,-0.37754384
0.9069111,0.48098996,-0.3720922
0.90558857,0.47392082,-0.36682665
0.9042844,0.4669496,-0.36174917
0.90299785,0.46007428,-0.3568382
0.9017289,0.45329446,-0.3520966
0.9004768,0.44660816,-0.34751886
0.8992419,0.44001514,-0.34309515
0.8980233,0.4335152,-0.3388171
0.8968212,0.4271077,-0.33468366
0.8956351,0.42079306,-0.3306872
0.894465,0.41457164,-0.32682952
0.89331055,0.4084445,-0.32309353
0.89217186,0.40241182,-0.31948522
0.8910484,0.39647487,-0.31599212
0.8899399,0.3906347,-0.3126153
0.88884634,0.38489318,-0.30935115
0.887768,0.3792507,-0.30618906
0.8867043,0.37370923,-0.3031325
0.88565505,0.36826965,-0.3001725
